"Name"	"Champion"	"Kind"	"Effect Text"
"Granite Shield"	"Malphite"	"Champion Passive"	"(Innate): Malphite's skin innately produces a layer of rock as a shield which absorbs damage of up to 10% of his maximum health. The shield will recharge if Malphite has not received damage in the last 10 seconds."
"Seismic Shard"	"Malphite"	""	"(Active): Malphite sends a shard of the earth through the ground at his target, dealing magic damage upon impact and slowing them for 4 seconds. Additionally, Malphite will increase his own movement speed for 4 seconds by the same amount of flat movement speed that the target lost.
Cooldown: 8 seconds
Range: 625


Cost: 70 / 75 / 80 / 85 / 90 mana
Magic Damage: 70 / 120 / 170 / 220 / 270 (+0.6 per ability power)
Movement Speed Stolen: 14 / 17 / 20 / 23 / 26 %"
"Brutal Strikes"	"Malphite"	""	"(Passive): Malphite's autoattacks will splash, dealing a percentage of his attack damage to nearby enemies.
Splash radius from target: 200


Splash Damage: 30 / 38 / 46 / 54 / 62 %"
"Ground Slam"	"Malphite"	""	"(Active): Malphite slams the ground, dealing magic damage to all nearby enemies and reducing their attack speed for 4 seconds.
Cooldown: 7 seconds
Radius of AoE: 400


Cost: 50 / 55 / 60 / 65 / 70 mana
Magic Damage: 60 / 100 / 140 / 180 / 220 (+50% of total armor)
Attack Speed Reduction: 30 / 35 / 40 / 45 / 50 %"
"Unstoppable Force"	"Malphite"	""	"(Active): Malphite charges to the target location, dealing magic damage to all enemies in the area, knocking them into the air and stunning them for 1.5 seconds. Malphite cannot be interrupted during his charge by anything except his own death.
Cost: 100 mana
Range to center of AoE: 1000
Radius of AoE: 250 (estimate)


Cooldown: 130 / 115 / 100 seconds
Magic Damage: 200 / 300 / 400 (+1.0 per ability power)"
"Summon Voidling"	"Malzahar"	"Champion Passive"	"(Innate): After casting 4 spells, Malzahar summons a Voidling for 21 seconds. Voidlings have 200 + (50 x level) health and 20 + (5 x level) + (+1.0 per bonus attack damage)  attack damage (bonus autoattack damage isn't noticed in tooltip or voidling's stats, but it affects damage done by voidling). The voidlings benefit from Malzahar's armor penetration.
Voidlings grow after 7 seconds (+50% base damage/armor), and Frenzy after 14 seconds (increased attack speed).

Voidlings' Armor: 30 (45 after 7 seconds)
Voidlings' Magic Resistance: 50
Voidlings' Attack Speed: 0.831 (1.496 after 14 seconds)
Voidlings' Movement Speed: 451 

Voidlings will always attack the target affected by Malzahar's most recently cast Malefic Visions. If there are no targets affected  by Malefic Visions, it will attack random targets."
"Call of the Void"	"Malzahar"	""	"(Active): Malzahar opens up two portals to the Void. After a short delay, power erupts from them, dealing magic damage and silencing all enemies caught between the portals.
Cooldown: 9 seconds
Range to center of wall: 900
Wall width: 400 (estimate)


Cost: 80 / 90 / 100 / 110 / 120 mana
Magic Damage: 80 / 135 / 190 / 245 / 300 (+0.8 per ability power)
Silence Duration: 1.4 / 1.8 / 2.2 / 2.6 / 3 seconds"
"Null Zone"	"Malzahar"	""	"(Active): Malzahar creates a zone of negative energy for 5 seconds. The zone deals magic damage to enemies that stand in it for percentage of their max health each second. (damage to monsters is capped)
Cooldown: 14 seconds
Range to center of AoE: 800
Radius of AoE: 250 (estimate)
Maximal damage vs. monsters: 130 (estimated)


Cost: 90 / 100 / 110 / 120 / 130 mana
Health To Magic Damage Per Second Ratio: 4 / 5 / 6 / 7 / 8% (+1% per 100 ability power)"
"Malefic Visions"	"Malzahar"	""	"(Active): Malzahar infects his target's mind, dealing magic damage each second for 4 seconds. If the target dies while afflicted by the visions, they pass the curse on to a nearby enemy unit, refreshing the duration and restoring mana to Malzahar. Malzahar's Voidlings are attracted to affected units.
Range: 650


Cost: 60 / 75 / 90 / 105 / 120 mana
Cooldown: 15 / 13 / 11 / 9 / 7 seconds
Total Magic Damage: 80 / 140 / 200 / 260 / 320 (+0.8 per ability power)
Magic Damage per Second: 20 / 35 / 50 / 65 / 80 (+0.2 per ability power)
Mana Restored: 10 / 14 / 18 / 22 / 26"
"Nether Grasp"	"Malzahar"	""	"(Active): Malzahar grips his target in an engulfing void of energy and begins channeling, dealing magic damage every half second while suppressing the target for up to 2.5 seconds.
Cost: 150 mana
Range: 700


Cooldown: 120 / 100 / 80 seconds
Magic Damage Per Half Second: 50 / 80 / 110 (+0.26 per ability power)
Total Magic Damage: 250 / 400 / 550 (+1.3 per ability power)"
"Sap Magic"	"Maokai"	"Champion Passive"	"(Innate): Each time a spell is cast near Maokai, he gains a charge of Sap Magic. When he has 5 charges, his next autoattack will heal him for 7% of his maximum health."
"Arcane Smash"	"Maokai"	""	"(Active): Maokai smashes the ground, and sends an arcane shockwave forward, damaging and slowing his enemies for 2 seconds.  Enemies close to Maokai are knocked back briefly.
Cost: 55 mana
Cooldown: 6 seconds
Radius of Knock-up AoE: 200 (estimate)
Range of Shockwave: 700 (estimate)


Magic Damage: 70 / 115 / 160 / 205 / 250 (+0.4 per ability power)
Slow: 20 / 27 / 34 / 41 / 48 %"
"Twisted Advance"	"Maokai"	""	"(Active): Maokai transforms into a cloud of arcane energy, quickly traveling to a target enemy and becoming untargetable while traveling. Once Maokai reaches the target, it takes magic damage and is rooted in place.
Cooldown: 13 seconds
Range: 650


Cost: 75 / 80 / 85 / 90 / 95 mana
Magic Damage: 80 / 115 / 150 / 185 / 220 (+0.8 per ability power)
Root Duration: 1 / 1.25 / 1.5 / 1.75 / 2 second(s)"
"Sapling Toss"	"Maokai"	""	"(Active): Maokai hurls a sapling to a target area, dealing magic damage on impact. The sapling becomes implanted in the ground, warding a nearby area for up to 35 seconds. After a 1 second delay after landing, the sapling will seek out nearby enemies. When an enemy approaches, the sapling will chase for up to 2.5 seconds and explode in an arcane blast that deals magic damage to enemies.
Cooldown: 12 seconds
Range: 1100
Impact/Explosion Radius: 350 (estimate)
Aggro Radius: 500 (estimate)
Sight Radius: 700 (estimate)


Cost: 70 / 80 / 90 / 100 / 110 mana
Impact Magic Damage: 40 / 75 / 110 / 145 / 180 (+0.4 per ability power)
Explosion Magic Damage: 80 / 130 / 180 / 230 / 280 (+0.6 per ability power)"
"Vengeful Maelstrom"	"Maokai"	""	"(Toggle): Maokai creates a great vortex of natural energy on a nearby area reducing non-tower damage done to allied champions in the area by 20%. Maokai can prolong the effect as long as he has mana to spend on it. When the effect ends, Maokai unleashes the absorbed energy to deal damage to enemies within the vortex.
Initial Cost: 75 mana
Upkeep Cost: 30 mana per second
Range to Center of AoE: 575
Radius of AoE:


Cooldown: 40 / 30 / 20 seconds
Magic Damage: 100 / 150 / 200 (+2 per point of damage absorbed) (+0.5 per ability power) 
Maximum Bonus Damage: 200 / 250 / 300"
"Strut"	"Miss Fortune"	"Champion Passive"	"(Innate): Miss Fortune gains an additional 25 movement speed after not taking any damage for 7 seconds, increasing thereafter by 4 every second up until reaching 70 bonus movement speed."
"Double Up"	"Miss Fortune"	""	"(Active): Miss Fortune fires a shot at an enemy target, dealing physical damage and 115% of that damage to another enemy target behind the first. Both hits apply on-hit effects.
Range: 625
Bounce hit range: 500


Cost: 70 / 75 / 80 / 85 / 90 mana
Cooldown: 9 / 8 / 7 / 6 / 5 seconds
Physical Damage: 25 / 60 / 95 / 130 / 165 (+0.75 per attack damage)"
"Impure Shots"	"Miss Fortune"	""	"(Passive): Miss Fortune's autoattacks deal extra magic damage on-hit. This damage cumulatively stacks up to 4 times on the same target if no more than 5 seconds pass between each hit.
Magic Damage: 6 / 8 / 10 / 12 / 14 (+0.05 per ability power)"
"Make It Rain"	"Miss Fortune"	""	"(Active): Miss Fortune fires hundreds of bullets into the air which rain down at a location after 0.5 seconds delay. The area lasts for 2 seconds, slowing and dealing magic damage every quarter of a second to each enemy that is on the area. Slow lasts 1 second after leaving the area.
Cooldown: 15 seconds
Range: 800
Radius: 400


Cost: 80 / 85 / 90 / 95 / 100 mana
Total Magic Damage: 90 / 145 / 195 / 255 / 310 (+0.8 per ability power)
Slow: 20 / 25 / 30 / 35 / 40 %"
"Bullet Time"	"Miss Fortune"	""	"(Active): Miss Fortune channels for 2 seconds to fire a wave of bullets in a cone in front of her every quarter of a second. She fires 8 waves in total and each wave will deal magic damage to all enemies caught in the area.
Cost: 150 mana
Range: 1400


Cooldown: 120 / 110 / 100 seconds
Magic Damage Per Wave: 65 / 95 / 125   (+0.45 per bonus attack damage) (+0.2 per ability power)
Maximum Magic Damage: 520 / 760 / 1000   (+3.60 per bonus attack damage) (+1.6 per ability power)"
"Iron Man"	"Mordekaiser"	"Champion Passive"	"(Innate): 35% of the damage dealt from abilities is converted into a temporary absorption shield. Shield generation is only half as effective against minions and monsters. Maximum shield strength is 90 + (30 x level). The shield decays by 3% per second."
"Mace of Spades"	"Mordekaiser"	""	"(Active): On next hit, Mordekaiser swings his mace with such force that it echoes out, striking up to 3 additional nearby targets, dealing magic damage. If the target is alone, the ability deals 65% more damage.
Additional target radius: 600


Cost: 25 / 32 / 39 / 46 / 53 health
Cooldown: 8 / 7 / 6 / 5 / 4 seconds
Magic Damage: 80 / 110 / 140 / 170 / 200 (+1.0 per bonus attack damage) (+0.4 per ability power)
Single Target Magic Damage: 132 / 181.5 / 231 / 280.5 / 330  (+1.65 per bonus attack damage) (+0.66 per ability power)"
"Creeping Death"	"Mordekaiser"	""	"(Active): Unleashes a protective cloud of metal shards to surround an ally or himself, increasing their armor and magic resistance and dealing magic damage per second to enemies in the cloud for 6 seconds.
Range: 750
Cloud radius: 250


Cost: 26 / 32 / 38 / 44 / 50 health
Cooldown: 20 / 18 / 16 / 14 / 12 seconds
Armor &amp; Magic Resist Bonus: 10 / 15 / 20 / 25 / 30
Magic Damage Per Second: 24 / 38 / 52 / 66 / 80 (+0.2 per ability power)"
"Siphon of Destruction"	"Mordekaiser"	""	"(Active): Mordekaiser damages all enemies in a cone in front of him, dealing magic damage.
Cooldown: 6 seconds
Range: 700


Cost: 24 / 36 / 48 / 60 / 72 health
Magic Damage: 70 / 115 / 160 / 205 / 250 (+0.6 per ability power)"
"Children of the Grave"	"Mordekaiser"	""	"(Active): Mordekaiser deals magic damage to the target and curses it for 10 seconds with a damage-over-time effect. The damage is equal to a percentage of the target's maximum health. Mordekaiser heals himself for the damage done.
In addition, if the target dies while under the effect of the curse, their soul is enslaved and will follow Mordekaiser for 30 seconds. During this time, Mordekaiser gains 20% of their ability power and attack damage. The spirit in turn gains 75% of Mordekaiser's adjusted damage, ability power, and health totals.

No cost
Range: 850
Leash range 1125 (estimate)


Cooldown: 120 / 105 / 90 seconds
Initial Magic Damage: 12 / 14.5 / 17% (+0.02% per ability power) 
Magic Damage Per Second: 1.2 / 1.45 / 1.7% (+0.002% per ability power)"
"Soul Eater"	"Nasus"	"Champion Passive"	"(Innate): Nasus drains his foe's spiritual energy, giving him a natural 14 /  17 /  20% lifesteal."
"Siphoning Strike"	"Nasus"	""	"(Active): Nasus's next attack will deal additional damage. Siphoning Strike permanently gains 3 stacked damage whenever it kills an enemy   champion, minion or neutral monster.
Cost: 20 / 25 / 30 / 35 / 40 mana
Cooldown: 8 / 7 / 6 / 5 / 4 seconds
Physical Damage: 30 / 50 / 70 / 90 / 110 (+1.0 per attack damage) (+3.0 per enemy killed by Siphoning Strike)"
"Wither"	"Nasus"	""	"(Active): Nasus ages his target, slowing their movement and attack speed by 35%. Additionally, they are reduced further to reach an extra slow at the end of 5 seconds. If the duration of the slow is reduced, the extra slow will be applied faster for it to reach its maximum at the end of the duration.
Cost: 80 mana
Range: 700


Extra Slow: 12 / 24 / 36 / 48 / 60 %
Cooldown: 15 / 14 / 13 / 12 / 11 seconds"
"Spirit Fire"	"Nasus"	""	"(Active): Nasus unleashes a spirit flame at a location for 5 seconds. Enemies caught in the area are dealt a burst of magic damage. Additionally, enemies in the area are dealt magic damage each second and have their armor reduced while on there and for 1 extra second.
Cooldown: 12 seconds
Range to Center of AoE: 650
Radius of AoE: 400


Cost: 70 / 85 / 100 / 115 / 130 mana
Initial Magic Damage: 55 / 95 / 135 / 175 / 215 (+0.6 per ability power)
Magic Damage Per Second: 11 / 19 / 27 / 35 / 43 (+0.12 per ability power)
Armor Reduction: 20 / 25 / 30 / 35 / 40"
"Fury of the Sands"	"Nasus"	""	"(Active): Nasus becomes empowered in the sandstorm for 15 seconds, gaining extra health. While the storm rages, he drains a percentage of nearby enemies max health each second (max of 240 magic damage per second per enemy) and converts 6.375% of the damage done into bonus attack damage for himself until the sandstorm wears off.
Cost: 150 mana
Cooldown: 120 seconds
Radius of AoE: 350


Health Gained: 300 / 450 / 600
Max Health to Magic Damage Ratio Per Second: 3 / 4 / 5% (+0.01 per ability power)"
"Prowl"	"Nidalee"	"Champion Passive"	"(Innate): Moving through brush increases Nidalee's movement speed by 15%. The buff lasts for an additional 2 seconds after leaving brush."
"Javelin Toss"	"Nidalee"	""	"(Active): Nidalee tosses her javelin, dealing magic damage on impact that increases depending on the distance between Nidalee and the target at the time it is hit. The multiplier caps at 2.5.
Cooldown: 6 seconds
Range: 1,500


Cost: 50 / 60 / 70 / 80 / 90 mana
Minimum Damage: 55 / 95 / 140 / 185 / 230 (+0.65 per ability power)
Maximum Damage: 138 / 238 / 350 / 463 / 575 (+1.625 per ability power)"
"Bushwhack"	"Nidalee"	""	"(Active): Nidalee lays a trap that deals magic damage over 2 seconds when sprung by an enemy, revealing them and reducing their armor and magic resistance for 12 seconds. Traps last for 4 minutes.
Cooldown: 18 seconds
Range: 900
Radius of Activation AoE:


Cost: 60 / 75 / 90 / 105 / 120 mana
Total Magic Damage: 80 / 125 / 170 / 215 / 260 (+0.4 per ability power)
Armor &amp; Magic Resist Reduction: 20 / 25 / 30 / 35 / 40 %"
"Primal Surge"	"Nidalee"	""	"(Active): Nidalee heals an ally champion and grants them bonus attack speed for 7 seconds.
Cooldown: 10 seconds
Range: 600


Cost: 60 / 80 / 100 / 120 / 140 mana
Heal: 50 / 85 / 120 / 155 / 190 (+0.7 per ability power)
Attack Speed: 20 / 30 / 40 / 50 / 60 %"
"Aspect of the Cougar"	"Nidalee"	""	"(Toggle): Nidalee transforms herself into a cougar, and in the process gaining a new set of abilities, bonus armor, magic resistance and 20 movement speed.
Nidalee loses 425 range while using this ability.

No cost
Cooldown: 4 seconds


Bonus Armor &amp; Magic Resistance: 10 / 20 / 30
Each additional rank increases the effectiveness of Nidalee's cougar abilities."
"Umbra Blades"	"Nocturne"	"Champion Passive"	"(Innate): Every 10 seconds, Nocturne's next attack strikes surrounding enemies for 120% of his physical damage and heals himself for 15 /  20 /  25 per target hit. Nocturne's autoattacks reduce this cooldown by 1 second."
"Duskbringer"	"Nocturne"	""	"(Active): Nocturne sends a shadow blade in a line that deals physical damage to all enemies it passes through, leaves a Dusk Trail on its path, and causes champions who are hit to also leave a Dusk Trail when they move for 5 seconds. While on the trail, Nocturne ignores unit collision and has increased movement speed and attack damage.
Cooldown: 10 seconds
Range: 1200


Cost: 60 / 65 / 70 / 75 / 80 mana
Physical Damage: 60 / 105 / 150 / 195 / 240 (+0.75 per bonus attack damage)
Movement Speed Bonus: 15 / 20 / 25 / 30 / 35 %
Attack Damage Bonus: 15 / 25 / 35 / 45 / 55"
"Shroud of Darkness"	"Nocturne"	""	"(Passive): Nocturne empowers his blades, permanently gaining attack speed.
Attack Speed Bonus: 20 / 25 / 30 / 35 / 40 %"
"Unspeakable Horror"	"Nocturne"	""	"(Active): Nocturne plants a nightmare into his target's mind, dealing magic damage over 2 seconds and placing a leash on the target for the duration. If Nocturne stays within leash range of the target for the full duration, the target becomes feared.
Range: 425
Leash range: 465


Cost: 60 / 65 / 70 / 75 / 80 mana
Cooldown: 15 / 14 / 13 / 12 / 11 seconds
Magic Damage: 50 / 100 / 150 / 200 / 250 (+1.0 per ability power)
Fear Duration: 1 / 1.25 / 1.5 / 1.75 / 2 seconds"
"Paranoia"	"Nocturne"	""	"(Active): Nocturne reduces the sight radius of all enemy champions and removes their ally vision for 4 seconds; this includes champions, minions, wards, towers, and clairvoyance.
While Paranoia is active, Nocturne can launch himself at a visible enemy champion, dealing physical damage.

Cost: 100 mana
Sight reduction: 300


Cooldown: 160 / 130 / 100 seconds
Physical Damage: 150 / 250 / 350 (+1.2 per bonus attack damage)
Jump Range: 2000 / 2750 / 3500"
"Visionary"	"Nunu"	"Champion Passive"	"(Innate): After 7 autoattacks, Nunu's next spell will have no cost."
"Consume"	"Nunu"	""	"(Active): Nunu's Yeti takes a bite out of target enemy minion or neutral monster, dealing true damage to it and restoring Nunu's health.
Cost: 60 mana
Range: 125


Cooldown: 18 / 16 / 14 / 12 / 10 seconds
True Damage: 400 / 525 / 650 / 775 / 900
Health Restored: 125 / 180 / 235 / 290 / 345 (+1.0 per ability power)"
"Blood Boil"	"Nunu"	""	"(Active): Invigorates an allied unit by heating their blood, increasing their attack speed and movement speed for 15 seconds. If cast on an ally, Nunu also gains the effect of Blood Boil.
Cost: 50 mana
Cooldown: 15 seconds
Range: 700


Attack Speed: 25 / 35 / 45 / 55 / 65 %
Movement Speed: 11 / 12 / 13 / 14 / 15 %"
"Ice Blast"	"Nunu"	""	"(Active): Nunu throws a ball of ice at an enemy unit, dealing magic damage and slowing their movement speed by a percentage and attack speed by 25% for 4 seconds.
Cooldown: 6 seconds
Range: 550


Cost: 75 / 85 / 95 / 105 / 115 mana
Magic Damage: 85 / 130 / 175 / 225 / 275 (+1.0 per ability power)
Slow: 20 / 30 / 40 / 50 / 60 %"
"Absolute Zero"	"Nunu"	""	"(Active): Nunu starts channeling and begins to sap a large area around him of heat, slowing all nearby enemies movement speed by 50% and attack speed by 25%. After channeling for 3 seconds, he deals massive damage to all enemies caught in the area. It can be canceled early for less damage.
Cost: 150 mana
Radius of AoE: 575


Cooldown: 150 / 120 / 90 seconds
Magic Damage: 625 / 875 / 1125 (+2.5 per ability power)"
"Berserker Rage"	"Olaf"	"Champion Passive"	"(Innate): For every 1% of his health missing, Olaf's attack speed increases by 1%."
"Undertow"	"Olaf"	""	"(Active): Olaf throws an axe to a target location, dealing physical damage to units it passes through and slowing them for 2.5 seconds. If Olaf picks up the axe, the ability's cooldown is reduced by 6 seconds.
Cooldown: 10 seconds
Range: 1000


Cost: 55 / 60 / 65 / 70 / 75 mana
Physical Damage: 50 / 90 / 130 / 170 / 210 (+0.5 per attack damage)
Slow: 24 / 28 / 32 / 36 / 40 %"
"Vicious Strikes"	"Olaf"	""	"(Active): For 6 seconds, Olaf's attack damage is increased and he gains life steal and spell vamp.
Cooldown: 12 seconds


Cost: 40 / 45 / 50 / 55 / 60 mana
Attack Damage: 7 / 14 / 21 / 28 / 35 (+1% of his maximum health)
Lifesteal &amp; Spell Vamp: 9 / 12 / 15 / 18 / 21 %"
"Reckless Swing"	"Olaf"	""	"(Active): Olaf attacks with such force that it deals true damage to his target and himself.
Range: 325


Cost: 40 / 64 / 88 / 112 / 136 health
Cooldown: 8 / 7 / 6 / 5 / 4 seconds
True Damage to Target: 100 / 160 / 220 / 280 / 340"
"Ragnarok"	"Olaf"	""	"(Passive): Olaf has increased armor penetration.
Armor Penetration: 10 / 20 / 30"
"Clockwork Windup"	"Orianna"	"Champion Passive"	"(Innate): Orianna’s autoattacks deal an additional 5 /  10 /  15 /  20 /  25 /  30 (+0.2 per ability power) magic damage every hit. Additionally, subsequent attacks on the same target within 4 seconds deal an extra 15% magic damage per hit. This extra damage bonus stacks up to three times."
"Command: Attack"	"Orianna"	""	"(Active): Orianna commands her ball to fly towards target location, dealing magic damage to all enemies that the ball passes through and that are on the destination area. However, the ball deals 10% less damage for each subsequent target hit down to a minimum of 40% damage done. Her ball remains behind at that location afterwards.
Range: 825


Cost: 50 / 55 / 60 / 65 / 70 mana
Cooldown: 6 / 5.5 / 5 / 4.5 / 4 seconds  
Magic Damage: 60 / 100 / 140 / 180 / 220 (+0.6 per ability power)"
"Command: Dissonance"	"Orianna"	""	"(Active): Orianna commands the Ball to emit an electric pulse around its current location, dealing magic damage to all units around it and leaving an electric field on the area for 3 seconds. The field speeds up allies and slows enemies that walk over it. This effect diminishes to normal over 2 seconds after leaving the area.
Cooldown: 9 seconds
Radius of AoE: 250 (estimate)


Cost: 70 / 80 / 90 / 100 / 110 mana
Magic Damage: 70 / 115 / 160 / 205 / 250 (+0.5 per ability power)
Initial Movement Speed Modifier: 20 / 25 / 30 / 35 / 40 %"
"Command: Protect"	"Orianna"	""	"(Passive): The allied champion the Ball is currently attached to is granted bonus armor and magic resistance.
Bonus Armor &amp; Magic Resist: 10 / 15 / 20 / 25 / 30"
"Command: Shockwave"	"Orianna"	""	"(Active): Orianna commands her ball to unleash a shockwave after a short delay, dealing magic damage to nearby enemies and flinging them into the air a set distance towards, and possibly over, the Ball. When the target(s) land they will be stunned for 1 second
Radius of AoE: 400 (estimate)
Fling distance: 250-350 (estimate)


Cost: 100 / 125 / 150 mana
Cooldown: 120 / 105 / 90 seconds  
Magic Damage: 150 / 225 / 300 (+0.7 per ability power)"
"Aegis Protection"	"Pantheon"	"Champion Passive"	"(Innate): After attacking or casting spells 4 times, Pantheon will gain a shield that will block the next normal or enhanced standard attack that deals more than 40 damage to him."
"Spear Shot"	"Pantheon"	""	"(Active): Pantheon hurls his spear at an opponent dealing physical damage. If Heartseeker Strike has been leveled up once, Spear Shot will crit to deal 150% damage against opponents whose current health is below 15% of their max health.
Cost: 45 mana
Cooldown: 4 seconds
Range: 600


Physical Damage: 65 / 105 / 145 / 185 / 225 (+1.4 per bonus attack damage)"
"Aegis of Zeonia"	"Pantheon"	""	"(Active): Pantheon leaps at an enemy and bashes the enemy with his shield, stunning them for 1 second. Pantheon will also instantly refresh his Aegis Protection.
Cost: 55 mana
Range: 600


Cooldown: 13 / 12 / 11 / 10 / 9 seconds
Magic Damage: 50 / 75 / 100 / 125 / 150 (+1.0 per ability power)"
"Certain Death"	"Pantheon"	""	"(Passive): Pantheon's autoattacks gain 100% critical strike chance against targets whose current health is below 15% of their max health."
"Grand Skyfall"	"Pantheon"	""	"(Active): Pantheon gathers his strength channeling for 2 seconds and then leaps high in to the air, crashing down at the target area 1.5 seconds later. Deals magic damage to units at the center (down to 50% at the edge) and slows them by 35% for 1 second. If the channeling is cancelled, the cooldown is reduced to 10 seconds.
Cost: 125 mana
Range to Center of AoE: 5500
Radius of AoE: 1000 (estimate)


Cooldown: 150 / 135 / 120 seconds
Magic Damage: 400 / 700 / 1000 (+1.0 per ability power)"
"Valiant Fighter"	"Poppy"	"Champion Passive"	"(Innate): Any damage dealt to Poppy that exceeds 10% of her current health is reduced by 50%. This does not reduce damage from structures."
"Devastating Blow"	"Poppy"	""	"(Active): Poppy enhances her next auto attack so that it deals bonus magic damage and an additional 8% of the target's max health as magic damage. The magic damage based on 8% of the target's max health cannot exceed a threshold.
Cost: 55 mana


Cooldown: 8 / 7 / 6 / 5 / 4 seconds
Extra Magic Damage: 20 / 40 / 60 / 80 / 100 (+0.6 per ability power)
Threshold: 75 / 150 / 225 / 300 / 375"
"Paragon of Demacia"	"Poppy"	""	"(Passive): Upon being hit or attacking an enemy, Poppy's armor and damage are increased for 5 seconds. This effect can stack 10 times.
Armor &amp; Attack Damage: 1.5 / 2 / 2.5 / 3 / 3.5 per stack
Max Armor &amp; Attack Damage: 15 / 20 / 25 / 30 / 35"
"Heroic Charge"	"Poppy"	""	"(Active): Poppy charges at an enemy and carries them further. The initial impact deals a small amount of magic damage, and if they collide with terrain, her target will take a high amount of magic damage and be stunned for 1.5 seconds.
Range: 525
Carry distance: approx 300


Cost: 60 / 65 / 70 / 75 / 80 mana
Cooldown: 12 / 11 / 10 / 9 / 8 seconds
Magic Damage: 50 / 75 / 100 / 125 / 150 (+0.4 per ability power)
Collision Magic Damage: 75 / 125 / 175 / 225 / 275 (+0.4 per ability power)"
"Diplomatic Immunity"	"Poppy"	""	"(Active): Poppy focuses intensely on a single enemy champion, dealing increased damage to them, and becoming immune to any damage, disruptions and abilities from any enemies, other than her target, including tower damage. Damage increase applies to summoner spells and items used by Poppy.
Cost: 100 mana
Range: 900


Cooldown: 140 / 120 / 100 seconds
Duration: 6 / 7 / 8 seconds
Increased Damage: 20 / 30 / 40 %"
"Ki Strike"	"Shen"	"Champion Passive"	"(Innate): Every 8 seconds, Shen's next attack will deal bonus magic damage equal to 5 + (5 &times; level) + (8% of his bonus health). Whenever an enemy champion hits Shen with a basic attack, the cooldown is reduced by 2 seconds."
"Vorpal Blade"	"Shen"	""	"(Active): Shen throws a sword to a target unit dealing magic damage. That unit becomes life-tapped for 5 seconds, and any champions who attack it are healed over 3 seconds. The attackers' healing duration is refreshed each time the life-tapped unit is struck again.
Cooldown: 3 seconds
Range: 475


Cost: 70 / 65 / 60 / 55 / 50 energy
Magic Damage: 70 / 115 / 140 / 175 / 210 (+0.75 per ability power)
Heal: 18 / 26 / 34 / 42 / 50"
"Feint"	"Shen"	""	"(Active): Shen enters a defensive stance, receiving a shield that lasts up to 2.5 seconds or until it is destroyed.
Cost: 45 energy


Cooldown: 9 / 8 / 7 / 6 / 5 seconds
Shield Strength: 50 / 100 / 150 / 200 / 250 (+0.75 per ability power)"
"Shadow Dash"	"Shen"	""	"(Active): Shen rapidly dashes to a target location, taunting enemies he collides with. If Shen collides with at least one champion while dashing, he will restore 50 energy.
Cooldown: 10 seconds
Range: 600 (estimate)


Cost: 120 / 115 / 110 / 105 / 100 energy
Taunt Duration: 1 / 1.25 / 1.5 / 1.75 / 2 second(s)"
"Stand United"	"Shen"	""	"(Active): Places a shield on a target allied champion, which will absorb damage for 7.5 seconds. After channeling for 2.5 seconds, Shen teleports to the target's location.
No Cost 
Range: Global


Cooldown: 180 / 150 / 120 seconds
Shield Strength: 200 / 475 / 750 (+1.5 per ability power)"
"Empowered Bulwark"	"Singed"	"Champion Passive"	"(Innate): Singed receives 25% of his mana as bonus health."
"Poison Trail"	"Singed"	""	"(Toggle): Singed leaves a trail of poison behind him that lasts for 3.25 seconds. Enemies caught in the path will be dealt magic damage each second for 3 seconds. Continual exposure renews the poison.
Cost per second: 13 mana
Cloud radius: 20


Magic Damage Per Second: 22 / 34 / 46 / 58 / 70 (+0.3 per ability power)
Total Magic Damage: 66 / 102 / 138 / 174 / 210 (+0.9 per ability power)"
"Mega Adhesive"	"Singed"	""	"(Active): Throws a vial of mega adhesive on the ground causing all enemies who touch it to be slowed as long as they are in the adhesive and for 1 second once they are out of it.
Cooldown: 14 seconds
Range: 1000
Radius: 350 (estimate)


Cost: 70 / 80 / 90 / 100 / 110 mana
Slow: 35 / 45 / 55 / 65 / 75 %"
"Fling"	"Singed"	""	"(Active): Flings an enemy behind Singed, dealing magic damage to it.
Cooldown: 10 seconds
Range: 125
Fling distance: 550 (estimate)


Cost: 100 / 110 / 120 / 130 / 140 mana
Magic Damage: 100 / 150 / 200 / 250 / 300 (+1.0 per ability power)"
"Insanity Potion"	"Singed"	""	"(Active): Singed drinks a potent brew of chemicals, enhancing his  stats with increased ability power, armor, magic resistance, movement speed, health and mana regeneration per 5 seconds, and crowd control reduction for 25 seconds.
Cost: 150 mana
Cooldown: 100 seconds


Enhanced Stats: 35 / 50 / 65
Crowd Control Reduction: 10 / 15 / 20 %"
"Feel No Pain"	"Sion"	"Champion Passive"	"(Innate): Sion has a 40% chance to ignore up to 30 /  40 /  50 damage each time he is hit by an autoattack. The damage reduction is calculated before armor and percentage damage reduction benefits are taken into account."
"Cryptic Gaze"	"Sion"	""	"(Active): Sion's gaze terrifies a single enemy, dealing magic damage and stunning it for 1.5 seconds.
Cost: 100 mana
Range: 550
Projectile speed: 1600


Cooldown: 12 / 11 / 10 / 9 / 8 seconds
Magic Damage: 70 / 125 / 180 / 240 / 300 (+0.9 per ability power)"
